State,obesity,diabetes
Alabama,37.1,14.12072829
Alaska,27.72807018,7.698245614
Arizona,28.44511719,9.380371094
Arkansas,34.46796875,10.95
California,24.89660646,9.808447364
Colorado,22.99213483,6.756741573
Connecticut,31.11779661,11.06186441
Delaware,36.60769231,13.92692308
District of C,26.69055556,9.770555556
Florida,29.16620132,11.75518001
Georgia,32.13175966,12.35150215
Hawaii,23.03601695,10.14152542
Idaho,26.81506849,8.338356164
Illinois,33.86328539,10.82392127
Indiana,35.49085821,12.54869403
Iowa,33.14653465,9.640594059
Kansas,33.05419355,10.19096774
Kentucky,33.84172932,11.15601504
Louisiana,36.37532808,13.60446194
Maine,26.47272727,7.909090909
Maryland,36.14975124,13.6960199
Massachusetts,26.84803922,9.847647059
Michigan,38.25185185,13.28756614
Minnesota,27.3367284,7.710185185
Mississippi,43.04556962,14.53291139
Missouri,34.4496614,11.5785553
Montana,27.78723404,8.108510638
Nebraska,31.97477064,8.433944954
Nevada,26.62520325,10.70487805
New Hampshire,29.31960784,9.170588235
New Jersey,35.35465839,12.43944099
New Mexico,26.35093458,9.593925234
New York,26.68645161,11.56580645
North Carolina,31.35429293,9.848737374
North Dakota,32.57777778,6.9
Ohio,37.35315852,13.72085816
Oklahoma,31.7782241,10.79661734
Oregon,25.97443182,8.009090909
Pennsylvania,31.5503876,12.13906977
Rhode Island,29.12075472,10.22075472
South Carolina,31.92655367,10.80508475
South Dakota,30.31666667,7.958333333
Tennessee,35.72237094,12.27265774
Texas,33.52428805,11.53594108
Utah,27.09322709,7.480478088
Vermont,22.66923077,5.976923077
Virginia,32.12879079,10.79788868
Washington,27.72109228,8.812241055
West Virginia,37.82916667,13.84166667
Wisconsin,34.5410628,10.46231884
Wyoming,29.19444444,8.488888889
